order_id,promised_time,on_demand,total_minutes,number_products,found,sen_ADVANCED_x,sen_BEGINNER_x,sen_INTERMEDIATE_x,sen_REVIEW_x,sen_ADVANCED_y,sen_BEGINNER_y,sen_INTERMEDIATE_y,sen_REVIEW_y,order_sb_distance,store_1,store_2,store_3,store_4,store_5,store_6,store_7,store_8,store_9,store_10,store_11,store_12,store_13,store_14,store_15,store_16,store_17
6abd5e28d01b7c733fe37485294235dc,13.0,0,91.800861,27.0,1.0,1,0,0,0,1,0,0,0,1.618391524892205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0d37a1eea001f01b40232ffd496ff663,13.0,0,206.59973200000002,103.0,1.0,1,0,0,0,1,0,0,0,3.3359212357315338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528428e9b9eb5d3bd0dbdd8da692b087,11.0,0,93.458001,6.0,0.0,0,0,1,0,0,0,1,0,2.8267014635396346,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d3f7be6d64eae7405b7bf024e04807a2,10.0,0,124.77876100000002,17.0,1.0,0,0,1,0,0,0,1,0,2.75683989051985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e0ad6533b6cd9a382ec6c1d473c5036c,11.0,0,130.321208,44.0,1.0,1,0,0,0,1,0,0,0,0.9069328368303959,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
f169a660e8667798da11775767cdce78,12.0,0,74.99311800000001,2.0,0.0,0,0,1,0,0,0,1,0,2.95666833169079,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
073eca5efe7ebb1073ec80cb90185c20,12.0,0,65.901589,2.0,0.0,1,0,0,0,1,0,0,0,4.5942151728624,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99a360636e3cb03552b6d74b4ccef603,10.0,0,93.661068,3.0,0.0,0,0,1,0,0,0,1,0,1.1881238512541317,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
c1800bdd3c666b497b39d6e526917167,10.0,0,66.5212,20.0,1.0,1,0,0,0,1,0,0,0,0.32761328142689694,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4c64ceaa31265a4b2ff0dec82b9beeb,17.0,0,83.232147,1.0,0.0,1,0,0,0,1,0,0,0,4.253119067795673,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e330962281e3de49b3d3856653e6da71,11.0,0,87.612301,15.0,1.0,0,0,1,0,0,0,1,0,0.05965407658650095,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4211ea0cba325e47bb71b7fed552d9c4,9.0,0,88.36366600000001,3.0,1.0,1,0,0,0,1,0,0,0,4.6411331882211355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df5de78cdde5a1fcd3ab2e1854a4b7a0,12.0,0,153.3419,20.0,1.0,0,0,1,0,0,0,1,0,3.2918946245704364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4616d54ad9cb3f34dea010dd777f90c7,10.0,0,174.948732,31.0,1.0,1,0,0,0,0,0,0,1,2.2423967912096896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ce264645741a0fc79890f06ea7b2336b,13.0,0,60.097044,1.0,0.0,0,0,1,0,0,0,1,0,0.8458256174232244,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b72060dd7e1b8ea5c4e7061dc35ce31f,12.0,0,91.439743,37.0,1.0,1,0,0,0,1,0,0,0,1.6010385239049643,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f28062e9d0b9d4cfa1a44d248b9c5e84,11.0,0,69.157783,8.0,1.0,0,0,1,0,0,0,1,0,1.460569901230203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975dbd17902585a82876fe61d7005e0c,10.0,0,132.419758,56.0,1.0,1,0,0,0,1,0,0,0,2.412822096853901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d6365ef228fe1197d22b9c98596a448,12.0,0,155.921219,44.0,1.0,1,0,0,0,1,0,0,0,7.135988275553004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119166fd7165cb2898aadf8a43538350,10.0,0,95.872938,25.0,1.0,0,0,0,1,0,0,0,1,2.0316255536327716,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17daa9724e617a9ee38dd3cf367f4429,10.0,0,152.064979,43.0,1.0,1,0,0,0,1,0,0,0,2.577524298087746,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2eff8a7fc14ae172469e39978adfac3a,12.0,0,107.341451,29.0,1.0,1,0,0,0,1,0,0,0,0.9555589937039634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475d652e3885af91dd8a3873429c96f8,11.0,0,76.983809,5.0,1.0,1,0,0,0,1,0,0,0,3.1839739010656216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143756b901adf85760ad8b96b7e6cb58,11.0,0,88.738024,35.0,1.0,1,0,0,0,1,0,0,0,3.4004723624941295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21a951ca1517d7b705a05002e4211d23,9.0,0,115.705848,22.0,1.0,0,0,1,0,0,0,1,0,0.5821669354796252,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84c7d713196ad09c79b81a471fc39992,20.0,0,63.252896,17.0,1.0,1,0,0,0,1,0,0,0,2.19961313585942,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9ca1a72c17a3465b1b4646b8e39cd410,11.0,0,174.041294,39.0,1.0,1,0,0,0,1,0,0,0,2.1880290039371726,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
605db8da3965581ea0bf6d56082600bf,10.0,0,53.29401,9.0,0.0,1,0,0,0,1,0,0,0,1.7091900871766852,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e1d9a4f57ffe610c5fb453a0ab350ea0,10.0,0,42.81824,1.0,0.0,0,0,1,0,0,0,1,0,2.2554385335112945,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ba8444278cc2535fdc9febc9cf5b8cd1,11.0,0,84.696572,32.0,1.0,1,0,0,0,1,0,0,0,1.827487738950681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8317ebaeb086c4b90010dba33450a541,14.0,0,169.54556499999998,66.0,1.0,1,0,0,0,1,0,0,0,2.782825166176265,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115856e5d95a3507a6c42bfeeeedc4a6,12.0,0,142.146018,52.0,1.0,1,0,0,0,1,0,0,0,2.5287806330395473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b74802e2d686a03100a3bce2457de836,11.0,0,101.380967,31.0,1.0,1,0,0,0,1,0,0,0,0.6295097618585133,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32afa2ee121f9f530c3251a26badf011,10.0,0,106.135508,18.0,1.0,0,0,1,0,0,0,1,0,0.9234009524992527,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
094965edc50b84dca1d1956709a2b017,9.0,0,78.990491,9.0,1.0,0,0,1,0,0,0,1,0,3.5685554591424853,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
d0f52f1d75e25d47abee9318ad25d797,11.0,0,70.694201,4.0,0.0,1,0,0,0,1,0,0,0,4.25469162979097,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85c4276a4ad9b3b6c59ec545a3e14d35,11.0,0,62.670657999999996,3.0,0.0,0,0,1,0,0,0,1,0,0.8722024628148577,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
e2d3e65c4a4f85dd53ac2a9f5438c481,11.0,0,77.092744,1.0,0.0,0,0,0,1,0,0,0,1,1.799345245417794,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
779d38a1e11e84b90d79d8a16f5f38a8,13.0,0,80.87558100000001,24.0,1.0,1,0,0,0,1,0,0,0,2.563145689403833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92957c35aa5c75504b1bc2833adac4c2,13.0,0,46.667596,1.0,0.0,1,0,0,0,1,0,0,0,1.7691356855566234,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d4c3721b582a43b13c4d6c8e0667c88a,10.0,0,126.20723799999999,40.0,1.0,1,0,0,0,1,0,0,0,2.9641486300296167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2baeab02dbe6d9c67f110e691cc96083,11.0,0,227.65946499999998,62.0,1.0,0,0,1,0,0,0,1,0,2.3205167943027325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
969d62df0a7080eec5dbcfe07960964d,11.0,0,138.29331200000001,40.0,1.0,1,0,0,0,1,0,0,0,3.094110982691407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
